2theta in degrees,after debinding and sintering,normalized
20.18,975.431,42.84898
20.2,977.915,42.9581
20.22,961.117,42.2202
20.24,941.877,41.37502
20.26,948.75,41.67693
20.28,948.381,41.66073
20.3,961.063,42.21782
20.32,950.93,41.7727
20.34,918.394,40.34345
20.36,975.177,42.83783
20.38,943.053,41.42668
20.4,976.841,42.91092
20.42,1004.166,44.11126
20.44,979.518,43.02852
20.46,932.776,40.97522
20.48,935.162,41.08004
20.5,929.871,40.84761
20.52,979.307,43.01925
20.54,942.387,41.39742
20.56,961.396,42.23245
20.58,965.223,42.40057
20.6,1017.388,44.69208
20.62,951.806,41.81118
20.64,942.403,41.39812
20.66,913.299,40.11963
20.68,918.093,40.33023
20.7,950.377,41.74841
20.72,902.707,39.65435
20.74,939.241,41.25922
20.76,969.734,42.59873
20.78,947.42,41.61851
20.8,912.811,40.0982
20.82,943.447,41.44398
20.84,965.263,42.40232
20.86,916.141,40.24448
20.88,910.662,40.0038
20.9,940.289,41.30526
20.92,891.607,39.16674
20.94,857.075,37.64981
20.96,949.041,41.68972
20.98,964.111,42.35172
21,922.426,40.52057
21.02,947.184,41.60814
21.04,939.548,41.27271
21.06,931.945,40.93872
21.08,863.221,37.91979
21.1,895.165,39.32304
21.12,872.338,38.32029
21.14,876.759,38.5145
21.16,946.308,41.56966
21.18,883.208,38.79779
21.2,920.068,40.41698
21.22,921.748,40.49078
21.24,925.127,40.63922
21.26,908.88,39.92552
21.28,899.59,39.51742
21.3,897.459,39.42381
21.32,882.654,38.77345
21.34,897.082,39.40725
21.36,896.37,39.37597
21.38,922.5,40.52382
21.4,920.407,40.43188
21.42,863.167,37.91742
21.44,870.552,38.24183
21.46,896.258,39.37105
21.48,870.107,38.22228
21.5,870.344,38.2327
21.52,934.184,41.03708
21.54,941.561,41.36113
21.56,919.706,40.40108
21.58,884.379,38.84923
21.6,866.687,38.07205
21.62,885.68,38.90638
21.64,892.545,39.20795
21.66,876.086,38.48493
21.68,899.985,39.53477
21.7,884.947,38.87418
21.72,934.503,41.05109
21.74,881.354,38.71635
21.76,887.537,38.98795
21.78,861.483,37.84345
21.8,859.035,37.73591
21.82,895.024,39.31685
21.84,835.089,36.68401
21.86,818.571,35.9584
21.88,862.818,37.90209
21.9,848.678,37.28095
21.92,859.866,37.77242
21.94,860.434,37.79737
21.96,828.526,36.3957
21.98,834.53,36.65945
22,851.956,37.42494
22.02,840.258,36.91107
22.04,905.421,39.77357
22.06,829.409,36.43449
22.08,807.743,35.48274
22.1,886.285,38.93296
22.12,818.156,35.94017
22.14,825.965,36.2832
22.16,802.899,35.26995
22.18,818.416,35.95159
22.2,818.278,35.94553
22.22,841.595,36.9698
